Drink Name,Caffeine (mg)
Dunkin' Latte Medium (414 mL),166
Dunkin' Latte Large (591 mL),252
Dunkin' Cappuccino Small (296 mL),118
Dunkin' Cappuccino Medium (414 mL),166
Dunkin' Macchiato Medium (414 mL),166
Dunkin' Cold Brew Small (473 mL),260
Dunkin' Cold Brew Medium (710 mL),347
Dunkin' Cold Brew Large (887 mL),431
Dunkin' Iced Coffee Small (473 mL),198
Dunkin' Iced Coffee Medium (710 mL),297
Dunkin' Iced Coffee Large (946 mL),396
Dunkin' Frozen Coffee Small (473 mL),196
Dunkin' Frozen Coffee Medium (710 mL),294
Dunkin' Chai Latte Medium (414 mL),70
Dunkin' Matcha Latte Medium (414 mL),120
Dunkin' Strawberry Coconut Refresher Medium (710 mL),66
Peet's Coffee Small (355 mL),267
Peet's Coffee Medium (473 mL),356
Peet's Coffee Large (591 mL),444
Peet's Espresso Solo (30 mL),75
Peet's Espresso Doppio (59 mL),150
Peet's Cold Brew (355 mL),150
Peet's Cold Brew (473 mL),200
Panera Bread Regular Coffee Small (237 mL),162
Panera Bread Regular Coffee Medium (355 mL),212
Panera Bread Regular Coffee Large (473 mL),277
Panera Bread Charged Lemonade Medium (591 mL),260
Panera Bread Charged Lemonade Large (887 mL),390
Caribou Coffee Medium (473 mL),305
Caribou Coffee Large (591 mL),380
Dutch Bros Blue Rebel Energy (473 mL),160
Dutch Bros Blue Rebel Energy (710 mL),240
Dutch Bros Americano Medium (473 mL),150
Dutch Bros Cold Brew Medium (473 mL),200
Costa Coffee Americano (355 mL),180
Costa Coffee Americano (473 mL),265
Costa Coffee Flat White (237 mL),185
Costa Coffee Latte Medium (355 mL),185
Costa Coffee Latte Large (473 mL),260
Costa Coffee Mocha Medium (355 mL),185
Cafe Nero Americano (355 mL),220
Cafe Nero Latte (355 mL),110
Cafe Nero Flat White (177 mL),110
Stumptown Cold Brew (311 mL),279
Stumptown Cold Brew (946 mL serving per 237 mL),215
Chameleon Cold Brew Concentrate (per 59 mL serving),150
Chameleon Cold Brew RTD (296 mL),270
La Colombe Draft Latte Original (266 mL),120
La Colombe Draft Latte Oat Milk (266 mL),120
La Colombe Cold Brew (266 mL),200
High Brew Coffee Mexican Vanilla (237 mL),130
High Brew Coffee Dark & Bold (237 mL),130
Califia Farms Cold Brew (311 mL),200
Café Bustelo Ready to Drink (237 mL),130
Coca-Cola Classic (222 mL),25
Coca-Cola Classic (237 mL),26
Coca-Cola Classic (355 mL),34
Coca-Cola Classic (473 mL),45
Coca-Cola Classic (591 mL),57
Coca-Cola Classic (2 L / 2011 mL),194
Diet Coke (355 mL),46
Diet Coke (591 mL),76
Diet Coke (2 L / 2011 mL),261
Coca-Cola Zero Sugar (355 mL),34
Coca-Cola Zero Sugar (591 mL),57
Coke Cherry (355 mL),34
Coke Starlight (355 mL),34
Coke Dreamworld (355 mL),34
Coke Move (355 mL),34
Pepsi (222 mL),24
Pepsi (355 mL),38
Pepsi (591 mL),63
Pepsi (2 L / 2011 mL),177
Diet Pepsi (355 mL),35
Diet Pepsi (591 mL),57
Pepsi Zero Sugar (355 mL),69
Pepsi Zero Sugar (591 mL),115
Pepsi Wild Cherry (355 mL),38
Pepsi Mango (355 mL),38
Pepsi Nitro (404 mL),69
Mountain Dew (355 mL),54
Mountain Dew (591 mL),91
Mountain Dew (2 L / 2011 mL),306
Diet Mountain Dew (355 mL),54
Mountain Dew Code Red (355 mL),54
Mountain Dew Voltage (355 mL),55
Mountain Dew Baja Blast (355 mL),54
Mountain Dew Baja Blast Zero (355 mL),54
Mountain Dew Typhoon (355 mL),54
Mountain Dew Pitch Black (355 mL),54
Mountain Dew White Out (355 mL),54
Mountain Dew Game Fuel (473 mL),90
Mountain Dew Rise Energy (473 mL),180
Mountain Dew Kickstart (473 mL),90
Dr Pepper (355 mL),41
Dr Pepper (591 mL),68
Diet Dr Pepper (355 mL),44
Dr Pepper Zero Sugar (355 mL),41
Dr Pepper Cherry (355 mL),41
Mr. Pibb / Pibb Xtra (355 mL),40
Cheerwine (355 mL),48
Barq's Root Beer (355 mL),22
RC Cola (355 mL),43
Mello Yello (355 mL),51
Sunkist Orange Soda (355 mL),41
Surge (473 mL),68
Big Red (355 mL),38
Tab (355 mL),46
Jolt Cola (355 mL),72
Vault Cola (355 mL),47
Pepsi-Cola Made with Real Sugar (355 mL),38
Inca Kola (355 mL),36
Snapple Lemon Tea (473 mL),42
Snapple Peach Tea (473 mL),42
Snapple Half & Half Lemonade Iced Tea (473 mL),21
Arizona Iced Tea Half & Half (680 mL),15
Arizona Green Tea (680 mL),15
Arizona Arnold Palmer Lite (680 mL),15
Lipton Iced Tea Lemon (591 mL),25
Gold Peak Sweet Tea (547 mL),48
Gold Peak Unsweetened Tea (547 mL),48
Pure Leaf Lemon Tea (547 mL),69
Pure Leaf Unsweetened Black Tea (547 mL),105
Honest Tea Honey Green Tea (473 mL),35
Honest Tea Black Tea (473 mL),42
Fuze Iced Tea (500 mL),28
Brisk Iced Tea (355 mL),9
SoBe Green Tea (591 mL),48
Tazo Iced Chai (408 mL),100
Tazo Green Tea (408 mL),45
Teavana Craft Iced Tea Tall (355 mL),30
Teavana Craft Iced Tea Grande (473 mL),40
Matcha Latte (237 mL homemade),40
Matcha Latte (473 mL café-style),70
Yerba Mate Traditional (237 mL),85
Guayaki Yerba Mate Original (473 mL),150
Guayaki Yerba Mate Lemon Elation (473 mL),150
Guayaki Yerba Mate Enlighten Mint (473 mL),150
Guayaki Yerba Mate Revel Berry (473 mL),150
Guayaki Organic Shot (59 mL),140
Bai Antioxidant Infusion (532 mL),35
Bai Boost Molokai Coconut (532 mL),110
Bai Bubbles (340 mL),35
Hint Kick Caffeinated Water (473 mL),60
Sparkling Ice +Caffeine (473 mL),70
Adrenaline Shoc (473 mL),300
Accel Gel (1 packet),25
GU Energy Gel (1 packet),40
Clif Bar Shot Blok (1 serving / 3 blocks),25
Spring Energy Awesome Sauce (1 packet),40
Honey Stinger Gold Energy Gel (1 packet),32
Kill Cliff Recover (355 mL),25
Kill Cliff Ignite (355 mL),150
Hard Coffee (Pabst Blue Ribbon) (325 mL),135
Twisted Tea Original (355 mL),1
Café Agave Cold Brew Cocktail (355 mL),75
Kahlúa Coffee Liqueur (44 mL),5
Baileys Irish Cream (44 mL),10
Espresso Martini (cocktail ~89 mL),63
Black Russian (cocktail),5
Vietnamese Iced Coffee (237 mL),150
Cold Brew Coffee Concentrate (59 mL serving),200
Chemex Pour Over (355 mL),190
AeroPress Coffee (237 mL),80
French Press Coffee (237 mL),100
Moka Pot Coffee (59 mL),105
Drip Coffee Home Brewed (237 mL),95
Instant Coffee (237 mL),62
Decaf Coffee Drip (237 mL),5
Decaf Espresso (30 mL),4
Turkish Coffee (74 mL),50
Café de Olla Mexican Coffee (237 mL),100
Cortado (118 mL),75
Macchiato Traditional (59 mL),75
Ristretto (30 mL),63
Con Panna (59 mL),75
Affogato (59 mL espresso),150
Irish Coffee (177 mL),50
Nitro Cold Brew Home Pour (355 mL),215
Coldbrew on Tap (355 mL),200
Black Tea Brewed (237 mL),50
Green Tea Brewed (237 mL),28
Oolong Tea Brewed (237 mL),37
White Tea Brewed (237 mL),15
Pu-erh Tea Brewed (237 mL),60
Chai Tea Brewed (237 mL),50
Earl Grey Brewed (237 mL),50
English Breakfast Tea (237 mL),55
Jasmine Green Tea (237 mL),25
Chamomile Tea (237 mL),0
Peppermint Tea (237 mL),0
Rooibos Tea (237 mL),0
Hibiscus Tea (237 mL),0
Twinings English Breakfast Tea Bag (237 mL),55
Bigelow Earl Grey Tea Bag (237 mL),50
Celestial Seasonings Green Tea (237 mL),15
Yogi Green Tea (237 mL),35
Bubble Tea / Boba Black Milk Tea (473 mL),50
Bubble Tea / Boba Green Milk Tea (473 mL),30
Bubble Tea / Boba Thai Milk Tea (473 mL),40
Bubble Tea / Boba Taro Milk Tea (473 mL),25
Bubble Tea / Boba Tiger Milk Tea (473 mL),50
Bubble Tea / Boba Matcha Latte (473 mL),60
Dark Chocolate (44 mL bar),25
Milk Chocolate (44 mL bar),9
Hot Cocoa / Hot Chocolate (237 mL),5
Starbucks Hot Chocolate Grande (473 mL),25
Swiss Miss Hot Cocoa (177 mL packet),5
Milo (237 mL),35
Ovaltine (237 mL),12
Cocoa Puffs Cereal (1 cup),2
Häagen-Dazs Coffee Ice Cream (118 mL),29
Ben & Jerry's Coffee Toffee Bar Crunch (118 mL),40
Tiramisu (1 slice ~100g),30
Coffee Yogurt Dannon (177 mL),30
